CustomerID,FirstName,LastName,Gender,BirthDate,MemberLevel,RegisterDate
C070001,พัชรา,วงศ์สว่าง,Other,1986-06-08,Gold,2028-01-12
C070002,ภูมิพัฒน์,นาคประสิทธิ์,Male,2000-05-29,Silver,2028-11-24
C070003,ศิริพร,เจริญพร,Female,1984-09-24,Silver,2028-01-19
C070004,วุฒิพงศ์,ตันติวิท,Other,2000-01-27,Silver,2028-11-27
C070005,ศิริพร,บุญธรรม,Male,1985-10-30,Silver,2028-01-08
C070006,มาลี,เจริญสุข,Male,2004-09-19,Gold,2028-10-16
C070007,วุฒิพงศ์,บุญธรรม,Female,1990-03-29,Silver,2028-12-07
C070008,พัชรา,เจริญสุข,Male,1984-09-21,Gold,2028-04-12
C070009,ปิยะ,ใจดี,Female,2000-03-16,Gold,2028-06-27
C070010,ชลธิชา,สุขสวัสดิ์,Other,1998-03-19,Gold,2028-09-16
C070011,ชนิดา,ตันติวิท,Male,1980-03-22,Bronze,2028-08-17
C070012,รัตนา,เจริญพร,Other,2001-07-14,Silver,2028-02-23
C070013,ภาวิณี,เจริญสุข,Other,1978-04-26,Bronze,2028-08-25
C070014,วิชัย,มีสาร,Female,1986-12-17,Bronze,2028-09-14
C070015,ประสิทธิ์,เพชรรัตน์,Male,1983-11-06,Silver,2028-12-11
C070016,ชลธิชา,วงศ์สว่าง,Other,1992-09-07,Gold,2028-07-31
C070017,มาลี,ธรรมราษฎร์,Other,1988-10-17,Gold,2028-01-03
C070018,อัญชนา,ใจดี,Male,2002-11-10,Silver,2028-12-10
C070019,กมล,ตันติวิท,Female,2003-08-29,Bronze,2028-12-27
C070020,ณัฐพงศ์,ใจดี,Male,1997-01-04,Platinum,2028-02-14
C070021,กานต์,พรมมาศ,Female,1993-04-13,Silver,2028-06-18
C070022,นงนุช,ใจดี,Other,1989-05-14,Bronze,2028-05-23
C070023,ณัฐพงศ์,ทองดี,Female,1995-11-21,Bronze,2028-05-07
C070024,ชนิดา,คงศักดิ์,Male,1990-03-29,Bronze,2028-09-14
C070025,วิชัย,ตันติวิท,Female,1994-04-14,Bronze,2028-09-29
C070026,ชลธิชา,คงศักดิ์,Other,1985-02-03,Gold,2028-12-27
C070027,ณัฐพงศ์,มีสาร,Male,1991-12-05,Gold,2028-10-07
C070028,ชลธิชา,พรมมาศ,Other,2002-07-07,Bronze,2028-08-12
C070029,ภูมิพัฒน์,ทองดี,Male,1992-07-21,Bronze,2028-09-11
C070030,กานต์,วงศ์สว่าง,Female,1993-02-15,Gold,2028-12-15
C070031,กมล,ดวงแก้ว,Other,2004-07-31,Bronze,2028-06-21
C070032,พัชรา,พรมมาศ,Other,1999-05-02,Silver,2028-11-14
C070033,ภูมิพัฒน์,รักษาวงศ์,Male,2003-10-18,Gold,2028-06-28
C070034,วุฒิพงศ์,มีสาร,Other,1998-02-25,Bronze,2028-07-19
C070035,ธนกฤต,ดวงแก้ว,Male,1997-09-20,Silver,2028-09-03
C070036,วุฒิพงศ์,ธรรมราษฎร์,Male,1996-04-27,Silver,2028-09-27
C070037,ประสิทธิ์,คงศักดิ์,Male,1997-01-03,Platinum,2028-07-29
C070038,พัชรา,เจริญพร,Female,1993-03-17,Bronze,2028-06-21
C070039,ศุภชัย,บุญธรรม,Female,1993-01-20,Gold,2028-12-24
