CustomerID,FirstName,LastName,Gender,BirthDate,MemberLevel,RegisterDate
C064001,พัชรา,ดวงแก้ว,Male,1998-07-19,Silver,2027-09-07
C064002,กานต์,สุขสวัสดิ์,Male,1979-07-18,Platinum,2027-01-04
C064003,มาลี,สมบูรณ์,Male,1982-01-29,Gold,2027-10-20
C064004,ชนิดา,รุ่งฤทธิ์,Female,2004-06-29,Bronze,2027-04-28
C064005,ชลธิชา,มีสาร,Other,1993-04-05,Bronze,2027-01-14
C064006,สมชาย,เจริญพร,Male,2001-11-10,Bronze,2027-12-06
C064007,สมชาย,มีสาร,Female,1998-04-20,Gold,2027-03-27
C064008,มาลี,ใจดี,Female,1981-04-27,Bronze,2027-12-16
C064009,ธนกฤต,ใจดี,Male,2002-11-15,Bronze,2027-12-23
C064010,ปิยะ,เจริญพร,Female,1981-11-26,Bronze,2027-11-19
C064011,รัตนา,คงศักดิ์,Male,2005-04-16,Bronze,2027-10-19
C064012,ประสิทธิ์,รุ่งฤทธิ์,Female,2007-12-09,Gold,2027-12-06
C064013,วิชัย,นาคประสิทธิ์,Male,1983-02-12,Bronze,2027-10-10
C064014,ศุภชัย,วงศ์สว่าง,Other,2000-02-10,Silver,2027-01-20
C064015,ประสิทธิ์,ใจดี,Female,1986-01-24,Bronze,2027-12-13
C064016,ภูมิพัฒน์,รักษาวงศ์,Male,2003-03-20,Bronze,2027-08-01
C064017,อัญชนา,มีสาร,Other,2004-07-19,Silver,2027-09-15
C064018,นงนุช,เจริญสุข,Female,1978-06-24,Bronze,2027-09-09
C064019,ธนกฤต,เจริญพร,Female,2007-12-30,Silver,2027-06-14
C064020,ศิริพร,ตันติวิท,Female,1994-09-26,Gold,2027-04-25
C064021,อัญชนา,คงศักดิ์,Male,1981-03-08,Bronze,2027-09-05
C064022,ธนกฤต,มีสาร,Female,1994-01-18,Bronze,2027-02-12
C064023,พัชรา,ธรรมราษฎร์,Male,1991-11-20,Gold,2027-09-16
C064024,ภาวิณี,เจริญพร,Female,1999-09-25,Bronze,2027-08-31
C064025,พัชรา,สมบูรณ์,Other,2004-04-02,Silver,2027-05-07
C064026,ชนิดา,สมบูรณ์,Male,1988-01-16,Bronze,2027-10-13
C064027,นงนุช,รักษาวงศ์,Male,1990-07-28,Silver,2027-06-11
C064028,พัชรา,บุญธรรม,Other,1995-11-26,Gold,2027-06-06
C064029,สมชาย,ศรีวงษ์,Male,1979-10-22,Bronze,2027-12-21
C064030,กานต์,ตันติวิท,Male,2004-06-25,Silver,2027-11-24
C064031,สมชาย,เจริญพร,Male,1978-02-24,Bronze,2027-01-24
C064032,ธนกฤต,ใจดี,Other,2003-05-11,Silver,2027-02-10
C064033,อัญชนา,พรมมาศ,Other,1982-09-10,Bronze,2027-12-02
C064034,ปิยะ,ศรีวงษ์,Female,1998-09-02,Bronze,2027-09-16
C064035,ศุภชัย,เพชรรัตน์,Male,2006-08-29,Gold,2027-09-15
C064036,มาลี,เจริญพร,Female,2003-08-10,Platinum,2027-11-01
C064037,พัชรา,เจริญสุข,Other,1986-11-29,Silver,2027-08-24
C064038,กานต์,รักษาวงศ์,Male,2000-09-23,Bronze,2027-05-13
C064039,นรงค์,ดวงแก้ว,Male,1987-03-29,Bronze,2027-06-07
C064040,กานต์,พรมมาศ,Male,2005-12-22,Silver,2027-07-15
C064041,สุปวัน,บุญธรรม,Male,1983-12-14,Silver,2027-12-04
C064042,ธนกฤต,ธรรมราษฎร์,Female,1985-01-07,Bronze,2027-04-03
C064043,ภาวิณี,ธรรมราษฎร์,Other,1990-01-16,Bronze,2027-02-09
C064044,สมชาย,คงศักดิ์,Female,1978-10-28,Bronze,2027-01-05
C064045,มาลี,รุ่งฤทธิ์,Female,1980-10-01,Bronze,2027-10-30
C064046,นรงค์,ทองดี,Male,2001-11-13,Bronze,2027-03-09
C064047,ชนิดา,สุขสวัสดิ์,Male,1980-01-27,Silver,2027-05-23
C064048,ชนิดา,พรมมาศ,Female,2000-04-12,Bronze,2027-10-05
C064049,นรงค์,มีสาร,Female,1988-10-04,Gold,2027-06-10
C064050,วุฒิพงศ์,สุขสวัสดิ์,Other,1987-12-15,Bronze,2027-11-25
C064051,กานต์,เพชรรัตน์,Other,1996-08-01,Bronze,2027-04-04
C064052,ศุภชัย,คงศักดิ์,Male,1983-07-20,Bronze,2027-04-26
C064053,อัญชนา,พรมมาศ,Male,1979-07-26,Silver,2027-03-29
C064054,ศุภชัย,ธรรมราษฎร์,Female,2004-03-18,Platinum,2027-12-27
C064055,สุปวัน,มีสาร,Female,1980-11-11,Silver,2027-03-16
C064056,นรงค์,พรมมาศ,Female,2002-04-26,VIP,2027-02-01
C064057,ชนิดา,ดวงแก้ว,Male,1984-10-06,Bronze,2027-11-20
C064058,ประสิทธิ์,ศรีวงษ์,Male,1984-07-17,Gold,2027-10-06
C064059,สุปวัน,วงศ์สว่าง,Female,2003-10-16,Bronze,2027-04-18
C064060,ภูมิพัฒน์,สุขสวัสดิ์,Other,1996-06-19,Bronze,2027-02-08
C064061,อัญชนา,ใจดี,Male,2006-10-01,Gold,2027-04-13
C064062,กานต์,เจริญสุข,Other,1995-07-05,Bronze,2027-03-12
C064063,กมล,มีสาร,Other,1997-02-04,Gold,2027-12-28
C064064,กมล,เจริญสุข,Male,1987-08-01,Gold,2027-10-30
C064065,ศุภชัย,มีสาร,Other,1985-05-06,Platinum,2027-07-20
C064066,วิชัย,ธรรมราษฎร์,Female,2000-02-23,Bronze,2027-06-24
C064067,วิชัย,เพชรรัตน์,Female,1990-10-16,Silver,2027-08-28
C064068,ศุภชัย,เจริญพร,Other,1990-01-15,Bronze,2027-07-06
C064069,นงนุช,พรมมาศ,Other,1979-05-09,Bronze,2027-12-16
C064070,ศิริพร,ทองดี,Female,1991-01-09,Bronze,2027-07-14
C064071,กมล,นาคประสิทธิ์,Female,2006-05-28,VIP,2027-10-13
C064072,สุปวัน,ใจดี,Male,2004-10-25,Bronze,2027-05-01
C064073,ประสิทธิ์,วงศ์สว่าง,Male,1982-10-02,Silver,2027-11-27
C064074,ชลธิชา,รักษาวงศ์,Male,1990-06-28,Gold,2027-11-09
C064075,ธนกฤต,รักษาวงศ์,Female,1979-02-26,Gold,2027-02-21
C064076,นงนุช,สมบูรณ์,Female,2000-06-05,Silver,2027-07-23
C064077,ศุภชัย,รักษาวงศ์,Male,1996-05-28,Gold,2027-12-21
C064078,กานต์,พรมมาศ,Female,2005-06-25,Gold,2027-03-14
C064079,พัชรา,ดวงแก้ว,Female,1999-06-18,Bronze,2027-10-10
C064080,นงนุช,คงศักดิ์,Male,1984-02-29,Silver,2027-05-13
C064081,นรงค์,สุขสวัสดิ์,Female,1982-06-05,Gold,2027-11-12
C064082,นรงค์,เจริญพร,Male,1987-10-19,Bronze,2027-04-05
C064083,อัญชนา,พรมมาศ,Other,1981-01-20,VIP,2027-01-26
C064084,ประสิทธิ์,มีสาร,Male,2000-05-12,Silver,2027-04-19
C064085,วุฒิพงศ์,รักษาวงศ์,Other,1987-02-19,Bronze,2027-09-16
C064086,ชนิดา,นาคประสิทธิ์,Female,1986-01-22,Platinum,2027-11-30
C064087,ศุภชัย,คงศักดิ์,Female,1998-08-06,Silver,2027-11-19
C064088,สมชาย,เจริญพร,Other,1991-12-21,Silver,2027-04-17
C064089,ศุภชัย,ธรรมราษฎร์,Female,1984-03-17,Gold,2027-03-23
C064090,ประสิทธิ์,พรมมาศ,Male,1993-10-15,Bronze,2027-08-30
C064091,รัตนา,สุขสวัสดิ์,Female,2001-04-08,Bronze,2027-03-17
C064092,ศิริพร,เพชรรัตน์,Male,1980-06-25,Bronze,2027-04-16
C064093,ศุภชัย,ดวงแก้ว,Male,1981-10-09,Gold,2027-04-25
C064094,กานต์,ใจดี,Female,1982-05-14,Platinum,2027-01-26
C064095,ศุภชัย,คงศักดิ์,Female,1989-07-31,Gold,2027-02-12
C064096,สมชาย,สมบูรณ์,Female,1983-12-05,Gold,2027-09-10
C064097,นงนุช,รักษาวงศ์,Other,1994-06-02,Silver,2027-02-20
C064098,อัญชนา,สมบูรณ์,Male,1997-02-21,Silver,2027-04-03
C064099,มาลี,มีสาร,Female,1994-03-19,Bronze,2027-09-05
C064100,ธนกฤต,รักษาวงศ์,Female,1990-09-19,Silver,2027-03-12
C064101,ชลธิชา,สุขสวัสดิ์,Other,1996-07-12,Silver,2027-03-06
C064102,พัชรา,มีสาร,Male,1978-05-15,Bronze,2027-12-06
C064103,สุปวัน,คงศักดิ์,Female,1987-08-22,Bronze,2027-05-16
C064104,นงนุช,คงศักดิ์,Other,1979-12-19,Gold,2027-04-11
C064105,นงนุช,สุขสวัสดิ์,Male,1993-11-03,Silver,2027-06-11
C064106,พัชรา,ศรีวงษ์,Male,1993-05-28,Bronze,2027-01-21
C064107,นงนุช,ธรรมราษฎร์,Male,1984-05-25,Silver,2027-12-29
C064108,วิชัย,คงศักดิ์,Male,1984-01-16,Gold,2027-10-22
C064109,สมชาย,ใจดี,Male,1991-07-16,Gold,2027-12-21
C064110,ประสิทธิ์,รุ่งฤทธิ์,Female,1979-09-12,Bronze,2027-04-28
C064111,ชลธิชา,เจริญสุข,Male,1989-12-27,Bronze,2027-05-07
C064112,ศิริพร,เพชรรัตน์,Other,1990-08-08,Bronze,2027-04-09
C064113,สุปวัน,คงศักดิ์,Female,2003-05-13,Silver,2027-01-16
C064114,ปิยะ,ทองดี,Male,1989-11-28,Gold,2027-05-23
C064115,ชนิดา,วงศ์สว่าง,Male,1981-08-15,Silver,2027-12-27
C064116,ภูมิพัฒน์,ศรีวงษ์,Female,1986-08-31,Gold,2027-07-22
C064117,ปิยะ,รุ่งฤทธิ์,Female,1990-07-20,Bronze,2027-08-18
C064118,รัตนา,เจริญสุข,Male,1987-12-08,Silver,2027-12-06
C064119,ภูมิพัฒน์,สุขสวัสดิ์,Male,1994-04-04,Silver,2027-02-04
C064120,วุฒิพงศ์,เพชรรัตน์,Female,1988-01-11,Silver,2027-02-14
C064121,นงนุช,มีสาร,Male,2003-07-01,Gold,2027-04-23
C064122,ณัฐพงศ์,สุขสวัสดิ์,Other,1980-02-01,Bronze,2027-07-15
